,instrument,repetition,trial,counter_e,counter_f,latency_e,latency_f,key,correct_side,answer,time,last_correct_answer,participant_id
0,Keyboard,0,0,0,0,0.256,0.0,e,e,1,1736943367.79,0.256,0
1,Keyboard,1,0,0,0,0.256,0.0,f,e,0,0.72,0.256,0
2,Keyboard,2,0,0,0,0.0,0.256,e,f,0,1736943368.18,0.256,0
3,Keyboard,3,0,0,0,0.0,0.256,f,f,1,1.01,0.256,0
4,Keyboard,4,0,0,0,0.0,0.256,f,f,1,1736943368.74,0.256,0
5,Keyboard,5,0,0,0,0.0,0.256,e,f,0,1.16,0.256,0
6,Keyboard,6,0,0,0,0.0,0.256,f,f,1,1736943368.82,0.256,0
7,Keyboard,7,0,0,0,0.256,0.0,f,e,0,1.36,0.256,0
8,Keyboard,8,0,0,0,0.256,0.0,e,e,1,1736943368.91,0.256,0
9,Keyboard,9,0,0,0,0.256,0.0,f,e,0,1.42,0.256,0
10,Keyboard,0,1,0,0,0.0,0.384,e,f,0,1736943369.06,0.256,0
11,Keyboard,1,1,0,0,0.0,0.384,f,f,1,1.55,0.256,0
12,Keyboard,2,1,0,0,0.384,0.0,f,e,0,1736943369.21,0.256,0
13,Keyboard,3,1,0,0,0.0,0.384,f,f,1,1.72,0.256,0
14,Keyboard,4,1,0,0,0.384,0.0,e,e,1,1736943369.34,0.256,0
15,Keyboard,5,1,0,0,0.384,0.0,e,e,1,1.85,0.256,0
16,Keyboard,6,1,0,0,0.384,0.0,f,e,0,1736943369.42,0.256,0
17,Keyboard,7,1,0,0,0.384,0.0,f,e,0,2.02,0.256,0
18,Keyboard,8,1,0,0,0.0,0.384,e,f,0,1736943369.56,0.256,0
19,Keyboard,9,1,0,0,0.384,0.0,f,e,0,2.11,0.256,0
20,Keyboard,0,2,0,0,0.0,0.448,f,f,1,1736943369.71,0.256,0
21,Keyboard,1,2,0,0,0.448,0.0,f,e,0,2.25,0.256,0
22,Keyboard,2,2,0,0,0.448,0.0,e,e,1,1736943369.83,0.256,0
23,Keyboard,3,2,0,0,0.0,0.448,f,f,1,2.36,0.256,0
24,Keyboard,4,2,0,0,0.0,0.448,f,f,1,1736943369.97,0.256,0
25,Keyboard,5,2,0,0,0.0,0.448,e,f,0,2.44,0.256,0
26,Keyboard,6,2,0,0,0.448,0.0,f,e,0,1736943370.12,0.256,0
27,Keyboard,7,2,0,0,0.448,0.0,f,e,0,2.57,0.256,0
28,Keyboard,8,2,0,0,0.448,0.0,e,e,1,1736943370.19,0.256,0
29,Keyboard,9,2,0,0,0.0,0.448,e,f,0,2.79,0.256,0
30,Keyboard,0,3,0,0,0.48,0.0,e,e,1,1736943370.39,0.256,0
31,Keyboard,1,3,0,0,0.48,0.0,f,e,0,2.84,0.256,0
32,Keyboard,2,3,0,0,0.48,0.0,f,e,0,1736943370.52,0.256,0
33,Keyboard,3,3,0,0,0.48,0.0,f,e,0,3.01,0.256,0
34,Keyboard,4,3,0,0,0.48,0.0,f,e,0,1736943370.65,0.256,0
35,Keyboard,5,3,0,0,0.0,0.48,e,f,0,3.21,0.256,0
36,Keyboard,6,3,0,0,0.0,0.48,f,f,1,1736943370.74,0.256,0
37,Keyboard,7,3,0,0,0.0,0.48,e,f,0,3.29,0.256,0
38,Keyboard,8,3,0,0,0.48,0.0,f,e,0,1736943370.82,0.256,0
39,Keyboard,9,3,0,0,0.0,0.48,f,f,1,3.46,0.256,0
40,Keyboard,0,4,0,0,0.0,0.496,e,f,0,1736943370.9,0.256,0
41,Keyboard,1,4,0,0,0.496,0.0,f,e,0,3.64,0.256,0
42,Keyboard,2,4,0,0,0.496,0.0,f,e,0,1736943371.04,0.256,0
43,Keyboard,3,4,0,0,0.496,0.0,e,e,1,3.72,0.256,0
44,Keyboard,4,4,0,0,0.496,0.0,f,e,0,1736943371.13,0.256,0
45,Keyboard,5,4,0,0,0.0,0.496,f,f,1,3.9,0.256,0
46,Keyboard,6,4,0,0,0.0,0.496,e,f,0,1736943371.22,0.256,0
47,Keyboard,7,4,0,0,0.496,0.0,f,e,0,3.98,0.256,0
48,Keyboard,8,4,0,0,0.0,0.496,f,f,1,1736943371.44,0.256,0
49,Keyboard,9,4,0,0,0.496,0.0,f,e,0,4.1,0.256,0
50,Keyboard,0,5,0,0,0.0,0.504,e,f,0,1736943371.63,0.256,0
51,Keyboard,1,5,0,0,0.0,0.504,e,f,0,4.15,0.256,0
52,Keyboard,2,5,0,0,0.0,0.504,e,f,0,1736943371.81,0.256,0
53,Keyboard,3,5,0,0,0.0,0.504,f,f,1,4.24,0.256,0
54,Keyboard,4,5,0,0,0.0,0.504,f,f,1,1736943371.97,0.256,0
55,Keyboard,5,5,0,0,0.504,0.0,f,e,0,4.41,0.256,0
56,Keyboard,6,5,0,0,0.504,0.0,e,e,1,1736943372.08,0.256,0
57,Keyboard,7,5,0,0,0.0,0.504,f,f,1,4.56,0.256,0
58,Keyboard,8,5,0,0,0.504,0.0,f,e,0,1736943372.25,0.256,0
59,Keyboard,9,5,0,0,0.504,0.0,e,e,1,4.63,0.256,0
60,Keyboard,0,6,0,0,0.508,0.0,f,e,0,1736943372.43,0.256,0
61,Keyboard,1,6,0,0,0.0,0.508,f,f,1,4.72,0.256,0
62,Keyboard,2,6,0,0,0.508,0.0,f,e,0,1736943372.57,0.256,0
63,Keyboard,3,6,0,0,0.0,0.508,e,f,0,4.79,0.256,0
64,Keyboard,4,6,0,0,0.0,0.508,e,f,0,1736943372.77,0.256,0
65,Keyboard,5,6,0,0,0.0,0.508,f,f,1,4.94,0.256,0
66,Keyboard,6,6,0,0,0.508,0.0,f,e,0,1736943372.98,0.256,0
67,Keyboard,7,6,0,0,0.0,0.508,e,f,0,5.0,0.256,0
68,Keyboard,8,6,0,0,0.0,0.508,e,f,0,1736943373.14,0.256,0
69,Keyboard,9,6,0,0,0.508,0.0,f,e,0,5.07,0.256,0
70,Keyboard,0,7,0,0,0.51,0.0,f,e,0,1736943373.31,0.256,0
71,Keyboard,1,7,0,0,0.51,0.0,e,e,1,5.18,0.256,0
72,Keyboard,2,7,0,0,0.0,0.51,e,f,0,1736943373.5,0.256,0
73,Keyboard,3,7,0,0,0.51,0.0,f,e,0,5.26,0.256,0
74,Keyboard,4,7,0,0,0.51,0.0,f,e,0,1736943373.75,0.256,0
75,Keyboard,5,7,0,0,0.51,0.0,e,e,1,5.34,0.256,0
76,Keyboard,6,7,0,0,0.0,0.51,e,f,0,1736943373.86,0.256,0
77,Keyboard,7,7,0,0,0.0,0.51,f,f,1,5.55,0.256,0
78,Keyboard,8,7,0,0,0.0,0.51,f,f,1,1736943373.93,0.256,0
79,Keyboard,9,7,0,0,0.51,0.0,e,e,1,5.66,0.256,0
80,Keyboard,0,8,0,0,0.0,0.511,f,f,1,1736943374.1,0.256,0
81,Keyboard,1,8,0,0,0.511,0.0,e,e,1,5.78,0.256,0
82,Keyboard,2,8,0,0,0.511,0.0,f,e,0,1736943374.18,0.256,0
83,Keyboard,3,8,0,0,0.511,0.0,f,e,0,5.95,0.256,0
84,Keyboard,4,8,0,0,0.0,0.511,e,f,0,1736943374.26,0.256,0
85,Keyboard,5,8,0,0,0.511,0.0,f,e,0,6.1,0.256,0
86,Keyboard,6,8,0,0,0.511,0.0,f,e,0,1736943374.43,0.256,0
87,Keyboard,7,8,0,0,0.0,0.511,e,f,0,6.25,0.256,0
88,Keyboard,8,8,0,0,0.511,0.0,f,e,0,1736943374.53,0.256,0
89,Keyboard,9,8,0,0,0.0,0.511,f,f,1,6.43,0.256,0
90,Gitarre,0,0,0,0,0.0,0.256,e,f,0,1736943374.6,0.256,0
91,Gitarre,1,0,0,0,0.256,0.0,f,e,0,6.54,0.256,0
92,Gitarre,2,0,0,0,0.0,0.256,f,f,1,1736943374.73,0.256,0
93,Gitarre,3,0,0,0,0.256,0.0,e,e,1,6.68,0.256,0
94,Gitarre,4,0,0,0,0.256,0.0,f,e,0,1736943374.8,0.256,0
95,Gitarre,5,0,0,0,0.0,0.256,f,f,1,6.86,0.256,0
96,Gitarre,6,0,0,0,0.256,0.0,f,e,0,1736943374.95,0.256,0
97,Gitarre,7,0,0,0,0.0,0.256,e,f,0,6.96,0.256,0
98,Gitarre,8,0,0,0,0.0,0.256,e,f,0,1736943375.11,0.256,0
99,Gitarre,9,0,0,0,0.0,0.256,f,f,1,7.1,0.256,0
100,Gitarre,0,1,0,0,0.384,0.0,e,e,1,1736943375.31,0.256,0
101,Gitarre,1,1,0,0,0.384,0.0,f,e,0,7.18,0.256,0
102,Gitarre,2,1,0,0,0.0,0.384,f,f,1,1736943375.45,0.256,0
103,Gitarre,3,1,0,0,0.0,0.384,e,f,0,7.31,0.256,0
104,Gitarre,4,1,0,0,0.384,0.0,f,e,0,1736943375.6,0.256,0
105,Gitarre,5,1,0,0,0.0,0.384,f,f,1,7.38,0.256,0
106,Gitarre,6,1,0,0,0.384,0.0,e,e,1,1736943375.78,0.256,0
107,Gitarre,7,1,0,0,0.384,0.0,f,e,0,7.5,0.256,0
108,Gitarre,8,1,0,0,0.384,0.0,f,e,0,1736943375.86,0.256,0
109,Gitarre,9,1,0,0,0.0,0.384,e,f,0,7.58,0.256,0
110,Gitarre,0,2,0,0,0.0,0.448,f,f,1,1736943376.13,0.256,0
111,Gitarre,1,2,0,0,0.0,0.448,e,f,0,7.66,0.256,0
112,Gitarre,2,2,0,0,0.0,0.448,f,f,1,1736943376.23,0.256,0
113,Gitarre,3,2,0,0,0.0,0.448,f,f,1,7.79,0.256,0
114,Gitarre,4,2,0,0,0.0,0.448,e,f,0,1736943376.37,0.256,0
115,Gitarre,5,2,0,0,0.0,0.448,f,f,1,7.82,0.256,0
116,Gitarre,6,2,0,0,0.0,0.448,e,f,0,1736943376.57,0.256,0
117,Gitarre,7,2,0,0,0.0,0.448,f,f,1,7.94,0.256,0
118,Gitarre,8,2,0,0,0.0,0.448,f,f,1,1736943376.75,0.256,0
119,Gitarre,9,2,0,0,0.0,0.448,e,f,0,8.03,0.256,0
120,Gitarre,0,3,0,0,0.48,0.0,f,e,0,1736943376.91,0.256,0
121,Gitarre,1,3,0,0,0.0,0.48,f,f,1,8.12,0.256,0
122,Gitarre,2,3,0,0,0.48,0.0,e,e,1,1736943377.0,0.256,0
123,Gitarre,3,3,0,0,0.48,0.0,f,e,0,8.24,0.256,0
124,Gitarre,4,3,0,0,0.48,0.0,f,e,0,1736943377.18,0.256,0
125,Gitarre,5,3,0,0,0.48,0.0,e,e,1,8.28,0.256,0
126,Gitarre,6,3,0,0,0.0,0.48,f,f,1,1736943377.35,0.256,0
127,Gitarre,7,3,0,0,0.0,0.48,e,f,0,8.34,0.256,0
128,Gitarre,8,3,0,0,0.0,0.48,f,f,1,1736943377.45,0.256,0
129,Gitarre,9,3,0,0,0.0,0.48,e,f,0,8.51,0.256,0
130,Gitarre,0,4,0,0,0.0,0.496,f,f,1,1736943377.63,0.256,0
131,Gitarre,1,4,0,0,0.496,0.0,e,e,1,8.6,0.256,0
132,Gitarre,2,4,0,0,0.0,0.496,f,f,1,1736943377.73,0.256,0
133,Gitarre,3,4,0,0,0.0,0.496,e,f,0,8.65,0.256,0
134,Gitarre,4,4,0,0,0.0,0.496,f,f,1,1736943377.86,0.256,0
135,Gitarre,5,4,0,0,0.496,0.0,e,e,1,8.8,0.256,0
136,Gitarre,6,4,0,0,0.0,0.496,f,f,1,1736943377.92,0.256,0
137,Gitarre,7,4,0,0,0.0,0.496,e,f,0,8.94,0.256,0
138,Gitarre,8,4,0,0,0.0,0.496,e,f,0,1736943378.1,0.256,0
139,Gitarre,9,4,0,0,0.496,0.0,f,e,0,9.03,0.256,0
140,Gitarre,0,5,0,0,0.0,0.504,f,f,1,1736943378.28,0.256,0
141,Gitarre,1,5,0,0,0.504,0.0,f,e,0,9.18,0.256,0
142,Gitarre,2,5,0,0,0.504,0.0,e,e,1,1736943378.35,0.256,0
143,Gitarre,3,5,0,0,0.0,0.504,f,f,1,9.58,0.256,0
144,Gitarre,4,5,0,0,0.0,0.504,f,f,1,1736943378.57,0.256,0
145,Gitarre,5,5,0,0,0.0,0.504,e,f,0,9.94,0.256,0
146,Gitarre,6,5,0,0,0.0,0.504,f,f,1,1736943378.73,0.256,0
147,Gitarre,7,5,0,0,0.504,0.0,e,e,1,10.33,0.256,0
148,Gitarre,8,5,0,0,0.504,0.0,f,e,0,1736943379.09,0.256,0
149,Gitarre,9,5,0,0,0.504,0.0,e,e,1,10.7,0.256,0
150,Gitarre,0,6,0,0,0.508,0.0,f,e,0,1736943379.45,0.256,0
151,Gitarre,1,6,0,0,0.508,0.0,e,e,1,11.33,0.256,0
152,Gitarre,2,6,0,0,0.0,0.508,f,f,1,1736943379.64,0.256,0
153,Gitarre,3,6,0,0,0.508,0.0,e,e,1,11.4,0.256,0
154,Gitarre,4,6,0,0,0.0,0.508,f,f,1,1736943379.84,0.256,0
155,Gitarre,5,6,0,0,0.0,0.508,f,f,1,11.52,0.256,0
156,Gitarre,6,6,0,0,0.508,0.0,e,e,1,1736943379.92,0.256,0
157,Gitarre,7,6,0,0,0.0,0.508,f,f,1,11.65,0.256,0
158,Gitarre,8,6,0,0,0.508,0.0,f,e,0,1736943380.09,0.256,0
159,Gitarre,9,6,0,0,0.0,0.508,e,f,0,11.72,0.256,0
160,Gitarre,0,7,0,0,0.51,0.0,f,e,0,1736943380.3,0.256,0
161,Gitarre,1,7,0,0,0.0,0.51,f,f,1,11.86,0.256,0
162,Gitarre,2,7,0,0,0.51,0.0,e,e,1,1736943380.36,0.256,0
163,Gitarre,3,7,0,0,0.51,0.0,f,e,0,11.91,0.256,0
164,Gitarre,4,7,0,0,0.51,0.0,f,e,0,1736943380.48,0.256,0
165,Gitarre,5,7,0,0,0.0,0.51,e,f,0,12.08,0.256,0
166,Gitarre,6,7,0,0,0.0,0.51,f,f,1,1736943380.58,0.256,0
167,Gitarre,7,7,0,0,0.51,0.0,f,e,0,12.18,0.256,0
168,Gitarre,8,7,0,0,0.51,0.0,e,e,1,1736943380.69,0.256,0
169,Gitarre,9,7,0,0,0.0,0.51,f,f,1,12.28,0.256,0
170,Gitarre,0,8,0,0,0.511,0.0,f,e,0,1736943380.86,0.256,0
171,Gitarre,1,8,0,0,0.0,0.511,e,f,0,12.36,0.256,0
172,Gitarre,2,8,0,0,0.0,0.511,f,f,1,1736943381.0,0.256,0
173,Gitarre,3,8,0,0,0.511,0.0,f,e,0,12.52,0.256,0
174,Gitarre,4,8,0,0,0.511,0.0,e,e,1,1736943381.22,0.256,0
175,Gitarre,5,8,0,0,0.511,0.0,f,e,0,12.6,0.256,0
176,Gitarre,6,8,0,0,0.0,0.511,f,f,1,1736943381.4,0.256,0
177,Gitarre,7,8,0,0,0.0,0.511,e,f,0,12.69,0.256,0
178,Gitarre,8,8,0,0,0.0,0.511,f,f,1,1736943381.5,0.256,0
179,Gitarre,9,8,0,0,0.0,0.511,e,f,0,12.79,0.256,0
180,Drums,0,0,0,0,0.256,0.0,f,e,0,1736943381.55,0.256,0
181,Drums,1,0,0,0,0.0,0.256,e,f,0,13.92,0.256,0
182,Drums,2,0,0,0,0.0,0.256,f,f,1,1736943381.68,0.256,0
183,Drums,3,0,0,0,0.0,0.256,f,f,1,14.06,0.256,0
184,Drums,4,0,0,0,0.0,0.256,e,f,0,1736943381.78,0.256,0
185,Drums,5,0,0,0,0.0,0.256,f,f,1,14.18,0.256,0
186,Drums,6,0,0,0,0.0,0.256,f,f,1,1736943381.91,0.256,0
187,Drums,7,0,0,0,0.0,0.256,e,f,0,14.26,0.256,0
188,Drums,8,0,0,0,0.256,0.0,f,e,0,1736943382.01,0.256,0
189,Drums,9,0,0,0,0.0,0.256,f,f,1,14.39,0.256,0
190,Drums,0,1,0,0,0.0,0.384,e,f,0,1736943382.22,0.256,0
191,Drums,1,1,0,0,0.0,0.384,f,f,1,14.44,0.256,0
192,Drums,2,1,0,0,0.384,0.0,f,e,0,1736943382.3,0.256,0
193,Drums,3,1,0,0,0.0,0.384,e,f,0,14.62,0.256,0
194,Drums,4,1,0,0,0.0,0.384,f,f,1,1736943382.37,0.256,0
195,Drums,5,1,0,0,0.384,0.0,e,e,1,14.73,0.256,0
196,Drums,6,1,0,0,0.384,0.0,f,e,0,1736943382.46,0.256,0
197,Drums,7,1,0,0,0.384,0.0,e,e,1,14.89,0.256,0
198,Drums,8,1,0,0,0.0,0.384,f,f,1,1736943382.53,0.256,0
199,Drums,9,1,0,0,0.384,0.0,e,e,1,14.98,0.256,0
200,Drums,0,2,0,0,0.0,0.448,f,f,1,1736943382.73,0.256,0
201,Drums,1,2,0,0,0.448,0.0,e,e,1,15.04,0.256,0
202,Drums,2,2,0,0,0.0,0.448,f,f,1,1736943382.8,0.256,0
203,Drums,3,2,0,0,0.0,0.448,f,f,1,15.11,0.256,0
204,Drums,4,2,0,0,0.448,0.0,e,e,1,1736943382.96,0.256,0
205,Drums,5,2,0,0,0.448,0.0,e,e,1,15.25,0.256,0
206,Drums,6,2,0,0,0.448,0.0,e,e,1,1736943383.14,0.256,0
207,Drums,7,2,0,0,0.0,0.448,f,f,1,15.3,0.256,0
208,Drums,8,2,0,0,0.0,0.448,f,f,1,1736943383.27,0.256,0
209,Drums,9,2,0,0,0.448,0.0,e,e,1,15.45,0.256,0
210,Drums,0,3,0,0,0.0,0.416,f,f,1,1736943383.49,0.448,0
211,Drums,1,3,0,0,0.416,0.0,e,e,1,15.53,0.448,0
212,Drums,2,3,0,0,0.0,0.416,f,f,1,1736943383.61,0.448,0
213,Drums,3,3,0,0,0.0,0.416,f,f,1,15.61,0.448,0
214,Drums,4,3,0,0,0.0,0.416,f,f,1,1736943383.78,0.448,0
215,Drums,5,3,0,0,0.416,0.0,e,e,1,15.66,0.448,0
216,Drums,6,3,0,0,0.0,0.416,e,f,0,1736943384.01,0.448,0
217,Drums,7,3,0,0,0.416,0.0,e,e,1,15.79,0.448,0
218,Drums,8,3,0,0,0.416,0.0,e,e,1,1736943384.14,0.448,0
219,Drums,9,3,0,0,0.416,0.0,f,e,0,15.94,0.448,0
220,Drums,0,4,0,0,0.4,0.0,f,e,0,1736943384.33,0.416,0
221,Drums,1,4,0,0,0.4,0.0,e,e,1,16.04,0.416,0
222,Drums,2,4,0,0,0.4,0.0,e,e,1,1736943384.45,0.416,0
223,Drums,3,4,0,0,0.4,0.0,f,e,0,16.15,0.416,0
224,Drums,4,4,0,0,0.4,0.0,e,e,1,1736943384.54,0.416,0
225,Drums,5,4,0,0,0.4,0.0,f,e,0,16.36,0.416,0
226,Drums,6,4,0,0,0.0,0.4,e,f,0,1736943384.6,0.416,0
227,Drums,7,4,0,0,0.0,0.4,e,f,0,16.55,0.416,0
228,Drums,8,4,0,0,0.4,0.0,f,e,0,1736943384.67,0.416,0
229,Drums,9,4,0,0,0.0,0.4,e,f,0,16.68,0.416,0
230,Drums,0,5,0,0,0.408,0.0,f,e,0,1736943384.86,0.416,0
231,Drums,1,5,0,0,0.408,0.0,f,e,0,16.78,0.416,0
232,Drums,2,5,0,0,0.0,0.408,e,f,0,1736943384.91,0.416,0
233,Drums,3,5,0,0,0.408,0.0,f,e,0,16.94,0.416,0
234,Drums,4,5,0,0,0.408,0.0,e,e,1,1736943385.01,0.416,0
235,Drums,5,5,0,0,0.0,0.408,f,f,1,17.06,0.416,0
236,Drums,6,5,0,0,0.0,0.408,f,f,1,1736943385.24,0.416,0
237,Drums,7,5,0,0,0.408,0.0,e,e,1,17.16,0.416,0
238,Drums,8,5,0,0,0.0,0.408,f,f,1,1736943385.33,0.416,0
239,Drums,9,5,0,0,0.0,0.408,f,f,1,17.31,0.416,0
240,Drums,0,6,0,0,0.412,0.0,e,e,1,1736943385.53,0.416,0
241,Drums,1,6,0,0,0.0,0.412,f,f,1,17.39,0.416,0
242,Drums,2,6,0,0,0.0,0.412,e,f,0,1736943385.66,0.416,0
243,Drums,3,6,0,0,0.412,0.0,f,e,0,17.48,0.416,0
244,Drums,4,6,0,0,0.0,0.412,e,f,0,1736943385.71,0.416,0
245,Drums,5,6,0,0,0.0,0.412,f,f,1,17.59,0.416,0
246,Drums,6,6,0,0,0.412,0.0,e,e,1,1736943385.85,0.416,0
247,Drums,7,6,0,0,0.412,0.0,f,e,0,17.62,0.416,0
248,Drums,8,6,0,0,0.0,0.412,e,f,0,1736943386.01,0.416,0
249,Drums,9,6,0,0,0.412,0.0,f,e,0,17.68,0.416,0
250,Drums,0,7,0,0,0.0,0.414,e,f,0,1736943386.17,0.416,0
251,Drums,1,7,0,0,0.0,0.414,f,f,1,17.73,0.416,0
252,Drums,2,7,0,0,0.414,0.0,e,e,1,1736943386.32,0.416,0
253,Drums,3,7,0,0,0.0,0.414,e,f,0,17.91,0.416,0
254,Drums,4,7,0,0,0.0,0.414,f,f,1,1736943386.42,0.416,0
255,Drums,5,7,0,0,0.414,0.0,e,e,1,18.05,0.416,0
256,Drums,6,7,0,0,0.414,0.0,f,e,0,1736943386.54,0.416,0
257,Drums,7,7,0,0,0.414,0.0,e,e,1,18.18,0.416,0
258,Drums,8,7,0,0,0.0,0.414,f,f,1,1736943386.67,0.416,0
259,Drums,9,7,0,0,0.0,0.414,f,f,1,18.31,0.416,0
260,Drums,0,8,0,0,0.0,0.415,e,f,0,1736943386.83,0.416,0
261,Drums,1,8,0,0,0.0,0.415,f,f,1,18.47,0.416,0
262,Drums,2,8,0,0,0.0,0.415,e,f,0,1736943386.92,0.416,0
263,Drums,3,8,0,0,0.415,0.0,f,e,0,18.61,0.416,0
264,Drums,4,8,0,0,0.0,0.415,f,f,1,1736943387.12,0.416,0
265,Drums,5,8,0,0,0.0,0.415,f,f,1,18.78,0.416,0
266,Drums,6,8,0,0,0.415,0.0,e,e,1,1736943387.19,0.416,0
267,Drums,7,8,0,0,0.415,0.0,e,e,1,18.99,0.416,0
268,Drums,8,8,0,0,0.415,0.0,e,e,1,1736943387.34,0.416,0
269,Drums,9,8,0,0,0.415,0.0,f,e,0,19.14,0.416,0
